"Keyword","Volume","Trend","Trend Dir.","SEO Score","Traffic Value","Competition","Ad Difficulty","Lowest CPC","Average CPC","Highest CPC","CPC Spread"
"a4shared","368000","","Stable 0%","93","$49,916","
                                            0
                                        ","0/100","$0.03","$0.50","$0.94","$0.90"
"4share","368000","","Stable 0%","93","$49,916","
                                            0
                                        ","0/100","$0.03","$0.50","$0.94","$0.90"
"4sharéd mp3","8100","","Declining -56%","65","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share download mp3","5400","","Declining -55%","62","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share mp3","5400","","Declining -45%","62","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4 share music","3600","","Growing +30%","59","$189","
                                            0
                                        ","0/100","$0.01","$0.19","$0.36","$0.35"
"4sharéd music","3600","","Growing +30%","59","$189","
                                            0
                                        ","0/100","$0.01","$0.19","$0.36","$0.35"
"4sync","1900","","Declining -38%","50","$985","
                                            0.08
                                        ","8/100","$0.24","$1.97","$3.46","$3.21"
"4share com","1900","","Stable -19%","55","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share com login","1600","","Declining -68%","53","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share login","1600","","Stable -7%","53","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4sharéd apk download","1000","","Declining -22%","50","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share for pc","880","","Growing +753%","48","N/A","
                                            0.02
                                        ","2/100","N/A","N/A","N/A","N/A"
"4share mp4","880","","Growing +78%","49","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4sharéd music download","720","","Growing +191%","48","N/A","
                                                        0
                                                    ","0/100","N/A","N/A","N/A","N/A"
"4share download music","720","","Growing +191%","48","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share download mp4","590","","Declining -38%","46","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share download mp3 music","390","","Growing +1557%","43","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"www 4 share","390","","Growing +21%","43","N/A","
                                            0.01
                                        ","1/100","N/A","N/A","N/A","N/A"
"www 4share com login","390","","Stable -12%","43","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share download video","390","","Stable +12%","43","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share download music free","320","","Growing +709%","42","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"www 4share com free download","260","","Declining -64%","40","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4 share remix","210","","Growing +562%","39","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share video","210","","Stable -1%","39","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share pdf","210","","Growing +187%","39","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share music mp3","140","","Growing +106%","36","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4 share it","140","","Stable -15%","36","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share download file","140","","Declining -43%","35","N/A","
                                            0.01
                                        ","1/100","N/A","N/A","N/A","N/A"
"4share download mp3 free android","110","","Growing +930%","34","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share download ringtone mp3","90","","Declining -96%","33","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4shard com for login","90","","Declining -36%","33","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share vn","90","","Growing +68%","33","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4 share online","90","","Declining -28%","33","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share com free download","90","","Growing +262%","33","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share.com sign in","90","","Stable -14%","33","N/A","
                                                        0
                                                    ","0/100","N/A","N/A","N/A","N/A"
"4share com sign in","90","","Stable -14%","33","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share mp3 music download","90","","Growing +85%","33","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4sharéd log in","70","","Stable -8%","31","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share apps apk","70","","Growing +55%","31","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"quick share password","50","","Growing +250%","28","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"link 4share com download","50","","Stable -17%","28","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"share4.ir","50","","Stable 0%","28","N/A","
                                                        0
                                                    ","0/100","N/A","N/A","N/A","N/A"
"share4 ir","50","","Stable 0%","28","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share link","40","","Declining -65%","27","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4xportal","30","","Growing +71%","24","N/A","
                                            0.04
                                        ","4/100","N/A","N/A","N/A","N/A"
"4share local friendly house","30","","Growing +87%","20","N/A","
                                            0.18
                                        ","18/100","N/A","N/A","N/A","N/A"
"4share download mp3 music free","30","","Stable 0%","25","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share download mp4 music","30","","Growing +300%","25","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"http pc ucshare net","30","","Declining -74%","25","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"http://4shared.com","30","","Growing +43%","25","N/A","
                                                        0
                                                    ","0/100","N/A","N/A","N/A","N/A"
"http 4shared com","30","","Growing +43%","25","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4sync login","20","","Growing +100%","22","N/A","
                                            0.01
                                        ","1/100","N/A","N/A","N/A","N/A"
"4share ppsspp","20","","Growing +29%","22","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share hostel","20","","Declining -60%","13","N/A","
                                            0.39
                                        ","39/100","N/A","N/A","N/A","N/A"
"4 share price","10","","Declining -40%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"http www 4share com","10","","Stable 0%","9","N/A","
                                            N/A
                                        ","N/A/100","N/A","N/A","N/A","N/A"
"http webshare","10","","Stable 0%","12","N/A","
                                            0.29
                                        ","29/100","N/A","N/A","N/A","N/A"
"username and password of zong 4g device","10","","Declining -33%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"zong 4g login password","10","","Stable 0%","9","N/A","
                                            N/A
                                        ","N/A/100","N/A","N/A","N/A","N/A"
"4ukey youtube","10","","Stable 0%","16","N/A","
                                            0.07
                                        ","7/100","N/A","N/A","N/A","N/A"
"login jazz 4g device","10","","Declining -33%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share website","10","","Stable 0%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4sharéd apk download pc","10","","Stable 0%","16","N/A","
                                            0.07
                                        ","7/100","N/A","N/A","N/A","N/A"
"up 4share","10","","Declining -33%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"up 4share vn","10","","Stable 0%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share upload","10","","Declining -50%","15","N/A","
                                            0.12
                                        ","12/100","N/A","N/A","N/A","N/A"
"4 share games downloads com","10","","Stable 0%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share com songs","10","","Growing +33%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4share.ir","10","","Growing +50%","17","N/A","
                                                        0
                                                    ","0/100","N/A","N/A","N/A","N/A"
"4share ir","10","","Growing +50%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"http://4share.com","10","","Stable 0%","17","N/A","
                                                        0
                                                    ","0/100","N/A","N/A","N/A","N/A"
"http 4share com","10","","Stable 0%","17","N/A","
                                            0
                                        ","0/100","N/A","N/A","N/A","N/A"
"4rabet pakistan login","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"connect 4 share link","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"jazz 4g login password","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4g device login","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4e exchange create account","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4share com login download","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4share wattpad","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ushare for","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"https 4share app product","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4share txt","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4 share room","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4share property ltd","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"nuremberg 4share","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4share lừa đảo","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"https 4share vn","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4share download mp4 music mp3","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4share của ai","0","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Total Volume","767,500","","","","","","","","","",""
